,Mural,Microglia,Glutamatergic Neuron,Endothelial_Stalk,GABAergic Neuron,Choroid_Plexus,Oligodendrocyte,Gja1,Astrocyte,Endothelial_Tip,Polydendrocyte
mean_wt,0.0015,0.0013,0.5463,0.0143,0.2954,0.0015,0.0147,0.0307,0.088,0.0034,0.0028
mean_hom,0.0021,0.003,0.5746,0.0155,0.2584,0.0026,0.0176,0.0268,0.0931,0.0036,0.0028
pValue,0.023,0.0374,0.0621,0.0957,0.1231,0.251,0.282,0.3228,0.345,0.7121,0.7308
wt1,0.0012,5e-04,0.5164,0.0138,0.3458,0,0.0109,0.0228,0.0818,0.0039,0.0028
wt2,0.0012,6e-04,0.5464,0.0137,0.2991,0.001,0.0132,0.0361,0.0835,0.0026,0.0026
wt3,0.0017,0.0034,0.5825,0.0141,0.2341,0.0042,0.0223,0.0365,0.0951,0.0026,0.0035
wt4,0.002,5e-04,0.536,0.0149,0.31,0.0021,0.0126,0.0264,0.0883,0.0042,0.0029
wt5,0.0015,0.0014,0.5501,0.015,0.2881,3e-04,0.0145,0.0316,0.0915,0.0037,0.0024
hom6,0.0026,0.003,0.5633,0.0177,0.2566,0.0029,0.0216,0.0177,0.1071,0.0044,0.0033
hom7,0.0023,0.0045,0.5874,0.016,0.2329,0.0022,0.0228,0.0208,0.105,0.0034,0.0027
hom8,0.0023,0.0036,0.5772,0.0159,0.2475,0.0035,0.0179,0.0335,0.0922,0.0034,0.0031
hom9,0.0019,0.0018,0.5537,0.0143,0.2983,0.0017,0.0137,0.0259,0.0823,0.004,0.0023
hom10,0.0018,0.0034,0.5993,0.0143,0.2374,0.0034,0.0147,0.0305,0.089,0.0036,0.0026
hom11,0.0018,0.0018,0.5669,0.0146,0.2779,0.0019,0.0149,0.0321,0.083,0.0026,0.0025
